"Designator","Value","Package","Mid X","Mid Y","Rotation","Layer"
"C1","22pF","C_0805_2012Metric",53.848,244.8075,270,"bottom"
"C2","22pF","C_0805_2012Metric",60.7568,244.8075,90,"bottom"
"C3","1uF","C_0805_2012Metric",54.5592,234.8761,270,"bottom"
"C4","0.1uF","C_0805_2012Metric",62.865,245.73,90,"bottom"
"C5","0.1uF","C_0805_2012Metric",51.1048,244.0155,90,"bottom"
"C6","10uF","C_0805_2012Metric",45.466,240.7435,270,"bottom"
"D1","1N4148","D_SOD-123",-118.745,249.174,90,"bottom"
"D2","1N4148","D_SOD-123",-99.568,249.174,90,"bottom"
"D3","1N4148","D_SOD-123",-80.518,249.174,90,"bottom"
"D4","1N4148","D_SOD-123",-61.595,249.174,90,"bottom"
"D5","1N4148","D_SOD-123",-42.545,249.174,90,"bottom"
"D6","1N4148","D_SOD-123",-23.495,249.174,90,"bottom"
"D7","1N4148","D_SOD-123",-20.955,249.175,90,"bottom"
"D8","1N4148","D_SOD-123",14.605,249.174,90,"bottom"
"D9","1N4148","D_SOD-123",33.655,249.174,90,"bottom"
"D10","1N4148","D_SOD-123",52.705,249.174,90,"bottom"
"D11","1N4148","D_SOD-123",71.755,249.174,90,"bottom"
"D12","1N4148","D_SOD-123",90.805,249.175,90,"bottom"
"D13","1N4148","D_SOD-123",102.87,249.2004,90,"bottom"
"D14","1N4148","D_SOD-123",-116.078,230.251,90,"bottom"
"D15","1N4148","D_SOD-123",-94.869,230.251,90,"bottom"
"D16","1N4148","D_SOD-123",-75.946,230.251,90,"bottom"
"D17","1N4148","D_SOD-123",-56.896,230.251,90,"bottom"
"D18","1N4148","D_SOD-123",-37.846,230.251,90,"bottom"
"D19","1N4148","D_SOD-123",-18.796,230.251,90,"bottom"
"D20","1N4148","D_SOD-123",0.254,230.251,90,"bottom"
"D21","1N4148","D_SOD-123",19.304,230.251,90,"bottom"
"D22","1N4148","D_SOD-123",38.354,230.251,90,"bottom"
"D23","1N4148","D_SOD-123",41.021,230.251,90,"bottom"
"D24","1N4148","D_SOD-123",83.693,230.251,90,"bottom"
"D25","1N4148","D_SOD-123",102.8954,230.252,90,"bottom"
"D26","1N4148","D_SOD-123",-111.379,211.201,90,"bottom"
"D27","1N4148","D_SOD-123",-85.471,211.201,90,"bottom"
"D28","1N4148","D_SOD-123",-66.421,211.201,90,"bottom"
"D29","1N4148","D_SOD-123",-47.371,211.201,90,"bottom"
"D30","1N4148","D_SOD-123",-28.321,211.201,90,"bottom"
"D31","1N4148","D_SOD-123",-9.271,211.201,90,"bottom"
"D32","1N4148","D_SOD-123",9.779,211.201,90,"bottom"
"D33","1N4148","D_SOD-123",28.829,211.201,90,"bottom"
"D34","1N4148","D_SOD-123",47.879,211.201,90,"bottom"
"D35","1N4148","D_SOD-123",69.469,211.201,90,"bottom"
"D36","1N4148","D_SOD-123",95.504,206.629,90,"bottom"
"D37","1N4148","D_SOD-123",102.997,211.328,90,"bottom"
"D38","1N4148","D_SOD-123",-116.332,191.771,90,"bottom"
"D39","1N4148","D_SOD-123",-97.663,190.499,90,"bottom"
"D40","1N4148","D_SOD-123",-80.645,191.77,90,"bottom"
"D41","1N4148","D_SOD-123",-44.831,191.77,90,"bottom"
"D42","1N4148","D_SOD-123",-21.082,191.77,90,"bottom"
"D43","1N4148","D_SOD-123",2.794,191.77,90,"bottom"
"D44","1N4148","D_SOD-123",33.655,191.77,90,"bottom"
"D45","1N4148","D_SOD-123",52.705,191.77,90,"bottom"
"D46","1N4148","D_SOD-123",76.454,186.944,90,"bottom"
"D47","1N4148","D_SOD-123",95.504,186.945,90,"bottom"
"D48","1N4148","D_SOD-123",98.171,186.945,90,"bottom"
"F1","Polyfuse_Small","Fuse_1206_3216Metric",10.163,242.697,180,"bottom"
"R1","10k","R_0805_2012Metric",66.4845,228.5515,270,"bottom"
"R2","10k","R_0805_2012Metric",76.8835,224.282,180,"bottom"
"R3","5.1k","R_0805_2012Metric",-9.525,247.4745,90,"bottom"
"R4","5.1k","R_0805_2012Metric",5.0015,258.445,180,"bottom"
"SW2","SW_Push","SKQGADE010",76.581,219.456,0,"bottom"
"U1","ATmega32U2-AU","TQFP-32_7x7mm_P0.8mm",61.93451,237.1785,270,"bottom"
"U2","PRTR5V0U2X","SOT143B",-3.159,250.329,180,"bottom"
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",-3.175,264.31875,0,"bottom"
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",57.69066,244.80622,0,"bottom"
